state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
660000	0.010	2.986	0.010	2	0	0.000	0.005	-0.112	126.44	-2767.07	0.00	-6.85
665000	0.008	0.368	0.008	1	0	0.000	0.003	-0.120	121.74	-2765.97	0.00	-0.43
670000	0.010	0.520	0.010	1	0	0.000	0.004	0.044	128.64	-2765.98	-0.00	0.70
675000	0.010	0.492	0.010	1	0	0.000	0.001	-0.093	130.17	-2765.98	0.00	0.69
680000	0.012	0.611	0.012	1	0	0.000	0.021	0.006	124.41	-2765.99	-0.04	0.00
685000	0.008	0.687	0.008	1	0	0.000	0.002	-0.073	127.54	-2765.99	0.00	-0.52
690000	0.013	0.357	0.013	1	0	0.000	0.002	-0.074	125.66	-2765.98	-0.15	0.00
695000	0.010	1.178	0.010	1	0	0.000	0.003	0.071	127.36	-2766.01	0.00	-6.82
700000	0.012	0.790	0.012	1	0	0.000	0.003	-0.103	129.54	-2766.00	0.00	0.69
705000	0.010	0.823	0.010	1	0	0.000	0.003	-0.121	129.81	-2766.00	-0.02	-0.69
710000	0.011	0.530	0.011	1	0	0.000	0.010	-0.103	127.38	-2765.98	0.00	-6.72
715000	0.011	0.704	0.011	1	0	0.000	0.001	-0.078	131.10	-2765.99	-0.17	0.00
720000	0.011	0.676	0.011	1	0	0.000	0.001	-0.050	131.19	-2765.99	-0.01	0.00
725000	0.013	0.737	0.013	1	0	0.000	0.000	-0.315	126.57	-2765.99	-0.01	-0.69
730000	0.009	0.878	0.009	1	0	0.000	0.008	-0.025	127.68	-2766.00	-0.17	0.00
735000	0.014	0.604	0.014	1	0	0.000	0.007	0.001	126.52	-2765.99	0.00	0.18
740000	0.013	0.608	0.013	2	0	0.000	0.001	-0.103	130.11	-2767.05	0.03	0.69
745000	0.009	3.784	0.009	3	0	0.000	0.001	0.008	128.23	-2768.51	-0.24	0.00
750000	0.010	0.659	0.010	1	0	0.000	0.001	-0.254	128.14	-2765.99	-0.01	-0.69
755000	0.013	1.030	0.013	1	0	0.000	0.002	-0.079	128.02	-2766.01	0.03	0.00
760000	0.011	0.760	0.011	1	0	0.000	0.002	-0.026	130.62	-2765.99	0.00	0.69
765000	0.011	5.175	0.011	2	0	0.000	0.006	-0.020	128.80	-2767.06	-0.00	0.36
770000	0.010	0.602	0.010	1	0	0.000	0.002	0.068	129.44	-2765.99	-0.00	0.00
775000	0.012	0.701	0.012	1	0	0.000	0.004	-0.155	128.84	-2765.99	0.00	0.69
780000	0.009	0.759	0.009	1	0	0.000	0.005	-0.102	128.08	-2765.99	-0.00	0.00
785000	0.011	1.004	0.011	1	0	0.000	0.002	-0.082	129.91	-2766.01	-0.00	0.00
790000	0.011	0.952	0.011	1	0	0.000	0.005	-0.102	129.04	-2766.00	0.00	-6.77
795000	0.012	0.543	0.012	1	0	0.000	0.001	-0.011	130.37	-2765.98	0.00	-6.79
800000	0.011	0.714	0.011	1	0	0.000	0.003	0.114	128.38	-2765.99	0.00	-6.73
805000	0.012	0.598	0.012	1	0	0.000	0.004	-0.340	124.54	-2765.99	0.00	-6.67
810000	0.013	0.493	0.013	1	0	0.000	0.001	-0.075	128.57	-2765.98	0.00	-6.57
815000	0.012	0.451	0.012	1	0	0.000	0.003	0.014	128.02	-2765.98	-0.01	0.00
820000	0.011	1.131	0.011	1	0	0.000	0.002	-0.099	129.12	-2766.01	0.00	-6.76
825000	0.012	0.621	0.012	1	0	0.000	0.004	-0.029	129.33	-2765.99	0.00	0.69
830000	0.011	0.690	0.011	1	0	0.000	0.003	-0.038	130.05	-2765.99	0.00	-6.72
835000	0.010	0.572	0.010	2	0	0.000	0.003	-0.179	128.75	-2767.04	0.00	0.00
840000	0.012	0.583	0.012	1	0	0.000	0.003	0.030	129.10	-2765.99	0.00	-6.66
845000	0.010	0.706	0.010	1	0	0.000	0.006	-0.076	129.13	-2765.99	0.02	0.00
850000	0.012	0.811	0.012	1	0	0.000	0.002	-0.065	130.07	-2766.00	0.00	-6.70
855000	0.009	0.752	0.009	1	0	0.000	0.000	0.125	127.29	-2765.99	0.00	-6.45
860000	0.011	1.079	0.011	1	0	0.000	0.004	-0.019	128.67	-2766.01	-0.02	-0.69
865000	0.010	1.116	0.010	1	0	0.000	0.003	-0.116	128.58	-2766.01	0.00	0.00
870000	0.011	1.025	0.011	1	0	0.000	0.001	-0.197	128.79	-2766.01	0.00	-6.73
875000	0.011	0.583	0.011	1	0	0.000	0.004	-0.021	129.70	-2765.99	-0.04	0.00
880000	0.012	34.936	0.012	2	0	0.000	0.002	-0.109	125.99	-2767.10	0.00	0.00
885000	0.011	133.170	0.011	3	0	0.000	0.001	-0.049	127.11	-2768.73	-0.06	0.00
890000	0.010	67.978	0.010	2	0	0.000	0.006	0.066	123.94	-2767.12	0.00	-6.87
895000	0.011	36.302	0.011	3	0	0.000	0.005	-0.037	126.94	-2768.56	0.00	-6.78
900000	0.011	11.343	0.011	2	0	0.000	0.000	-0.151	127.55	-2767.06	-0.07	0.00
905000	0.011	16.076	0.011	2	0	0.000	0.001	-0.038	128.14	-2767.07	-0.01	-0.69
910000	0.012	5.791	0.012	2	0	0.000	0.001	-0.019	127.20	-2767.05	0.00	-6.65
915000	0.014	12.284	0.014	2	0	0.000	0.002	-0.032	123.06	-2767.05	0.00	0.00
920000	0.010	2.121	0.010	2	0	0.000	0.002	-0.114	127.61	-2767.06	0.00	-6.87
925000	0.012	1.756	0.012	1	0	0.000	0.000	0.012	126.45	-2766.04	0.00	-6.66
930000	0.006	0.892	0.011	2	0	0.000	0.001	-0.214	129.27	-2767.06	0.00	0.00
