state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
5600	0.996	0.996	0.996	0	1	109.956	0.033	1.502	-34.46	-279.80	-0.00	0.00
5700	0.434	0.434	0.434	0	2	71.889	0.994	1.853	-34.73	-280.47	0.00	-5.15
5800	0.040	0.040	0.040	0	1	57.554	1.248	1.853	-33.87	-279.66	0.81	0.00
5900	0.006	0.006	0.006	0	1	84.014	1.187	1.853	-32.91	-279.71	0.00	0.00
6000	0.002	0.002	0.002	0	1	89.882	1.166	2.051	-32.54	-279.72	-0.78	0.00
6100	0.000	0.000	0.000	0	1	98.963	0.923	2.097	-32.53	-279.74	-0.79	0.00
6200	0.000	0.000	0.000	0	1	57.929	1.344	2.097	-34.07	-279.66	0.81	0.00
6300	0.000	0.000	0.000	0	2	213.534	1.068	1.594	-33.53	-280.88	0.00	0.00
6400	0.000	0.000	0.000	0	3	83.383	1.083	1.594	-34.12	-280.98	0.00	-15.51
6500	0.000	0.000	0.000	0	1	251.824	0.901	2.247	-32.47	-280.05	0.00	0.00
6600	0.000	0.000	0.000	0	2	216.050	0.884	1.983	-32.01	-280.88	0.00	0.00
6700	0.000	0.000	0.000	0	1	950.516	1.164	1.983	-32.14	-281.44	0.00	0.00
6800	0.000	0.000	0.000	0	1	608.368	1.199	2.301	-32.41	-280.76	0.00	0.00
6900	0.000	0.000	0.000	0	1	1175.579	1.142	2.220	-32.24	-281.89	0.00	0.00
7000	0.000	0.000	0.000	0	1	473.739	0.945	2.166	-31.98	-280.49	0.00	-19.09
7100	0.000	0.000	0.000	0	1	540.147	1.049	2.321	-32.21	-280.62	0.00	0.00
7200	0.000	0.000	0.000	0	1	707.988	1.436	2.232	-33.49	-280.96	0.00	0.00
7300	0.000	0.000	0.000	0	1	417.026	1.436	2.232	-33.40	-280.38	0.00	0.00
7400	0.000	0.000	0.000	0	1	244.835	1.224	1.801	-32.51	-280.03	-0.00	0.00
7500	0.000	0.000	0.000	0	1	124.871	1.224	1.893	-32.55	-279.79	0.00	0.00
7600	0.000	0.000	0.000	0	2	84.695	0.967	1.609	-32.24	-280.49	0.00	-20.86
7700	0.000	0.000	0.000	0	3	51.996	0.908	2.107	-32.23	-280.85	-0.00	0.00
7800	0.000	0.000	0.000	0	5	90.311	0.985	2.082	-34.13	-281.69	0.00	-24.06
7900	0.000	0.000	0.000	0	1	244.239	0.985	2.004	-31.79	-280.03	0.00	0.00
8000	0.000	0.000	0.000	0	1	189.445	0.985	2.295	-32.30	-279.92	0.00	-27.39
8100	0.000	0.000	0.000	0	1	322.562	1.429	2.051	-33.22	-280.19	0.00	0.00
8200	0.000	0.000	0.000	0	1	201.090	0.975	1.925	-32.00	-279.95	0.00	-32.22
8300	0.000	0.000	0.000	0	1	287.084	0.847	1.925	-32.87	-280.12	0.00	0.00
8400	0.000	0.000	0.000	0	4	347.692	0.846	1.925	-35.32	-282.67	0.00	-34.24
8500	0.000	0.000	0.000	0	1	180.555	1.004	1.925	-31.96	-279.90	0.00	0.00
